Chapter,Country,Ratification,Treaty,Signature
Charter of the United Nations and Statute of the International Court of Justice,Cameroon,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
Charter of the United Nations and Statute of the International Court of Justice,Canada,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
Charter of the United Nations and Statute of the International Court of Justice,Colombia,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
Charter of the United Nations and Statute of the International Court of Justice,Costa Rica,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
Charter of the United Nations and Statute of the International Court of Justice,Côte d'Ivoire,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
Charter of the United Nations and Statute of the International Court of Justice,Cyprus,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
Charter of the United Nations and Statute of the International Court of Justice,Democratic Republic of the Congo,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
Charter of the United Nations and Statute of the International Court of Justice,Denmark,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
Charter of the United Nations and Statute of the International Court of Justice,Djibouti,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
Charter of the United Nations and Statute of the International Court of Justice,Dominica,,"Declarations recognizing as compulsory the jurisdiction of the International Court of Justice under Article 36, paragraph 2, of the Statute of the Court.   ",
